model_1,model_2,regime,cka_score
nucleotide-transformer-2.5b-multi-species,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.3659453920693865
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.34847827476758897
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.3482676302477091
gpn-brassicales,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.33123617826619717
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-1000g,coding_vs_coding,0.3219258510333746
gena-lm-bigbird-base-t2t,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.3156976701879749
gpn-brassicales,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.29214788405967357
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.2611566935288831
gena-lm-bigbird-base-t2t,hyenadna-medium-450k-seqlen-hf,coding_vs_coding,0.2024462893088973
gena-lm-bigbird-base-t2t,hyenadna-large-1m-seqlen-hf,coding_vs_coding,0.19390964024633806
gena-lm-bigbird-base-t2t,gpn-brassicales,coding_vs_coding,0.1896153729260896
gena-lm-bigbird-base-t2t,gpn-brassicales,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,gpn-brassicales,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,GROVER,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,GROVER,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,hyenadna-large-1m-seqlen-hf,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,hyenadna-large-1m-seqlen-hf,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,hyenadna-medium-450k-seqlen-hf,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,hyenadna-medium-450k-seqlen-hf,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-1000g,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-1000g,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
gena-lm-bigbird-base-t2t,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
gpn-brassicales,GROVER,coding_vs_noncoding,
gpn-brassicales,GROVER,noncoding_vs_coding,
gpn-brassicales,hyenadna-large-1m-seqlen-hf,coding_vs_noncoding,
gpn-brassicales,hyenadna-large-1m-seqlen-hf,noncoding_vs_coding,
gpn-brassicales,hyenadna-medium-450k-seqlen-hf,coding_vs_noncoding,
gpn-brassicales,hyenadna-medium-450k-seqlen-hf,noncoding_vs_coding,
gpn-brassicales,nucleotide-transformer-2.5b-1000g,coding_vs_noncoding,
gpn-brassicales,nucleotide-transformer-2.5b-1000g,noncoding_vs_coding,
gpn-brassicales,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
gpn-brassicales,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
gpn-brassicales,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
gpn-brassicales,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
GROVER,hyenadna-large-1m-seqlen-hf,coding_vs_noncoding,
GROVER,hyenadna-large-1m-seqlen-hf,noncoding_vs_coding,
GROVER,hyenadna-medium-450k-seqlen-hf,coding_vs_noncoding,
GROVER,hyenadna-medium-450k-seqlen-hf,noncoding_vs_coding,
GROVER,nucleotide-transformer-2.5b-1000g,coding_vs_noncoding,
GROVER,nucleotide-transformer-2.5b-1000g,noncoding_vs_coding,
GROVER,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
GROVER,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
GROVER,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
GROVER,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
hyenadna-large-1m-seqlen-hf,hyenadna-medium-450k-seqlen-hf,coding_vs_noncoding,
hyenadna-large-1m-seqlen-hf,hyenadna-medium-450k-seqlen-hf,noncoding_vs_coding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-1000g,coding_vs_noncoding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-1000g,noncoding_vs_coding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-1000g,coding_vs_noncoding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-1000g,noncoding_vs_coding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
nucleotide-transformer-2.5b-multi-species,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
nucleotide-transformer-2.5b-multi-species,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
