model_1,model_2,regime,cka_score
gpn-brassicales,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.33123617826619717
gpn-brassicales,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.41823708997739295
gpn-brassicales,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
gpn-brassicales,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
gpn-brassicales,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.29214788405967357
gpn-brassicales,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.3988193252685457
gpn-brassicales,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
gpn-brassicales,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
GROVER,hyenadna-large-1m-seqlen-hf,coding_vs_coding,0.42656446904183143
GROVER,hyenadna-large-1m-seqlen-hf,noncoding_vs_noncoding,0.7317998301263325
GROVER,hyenadna-large-1m-seqlen-hf,coding_vs_noncoding,
GROVER,hyenadna-large-1m-seqlen-hf,noncoding_vs_coding,
GROVER,hyenadna-medium-450k-seqlen-hf,coding_vs_coding,0.44921451353119984
GROVER,hyenadna-medium-450k-seqlen-hf,noncoding_vs_noncoding,0.7375988292621173
GROVER,hyenadna-medium-450k-seqlen-hf,coding_vs_noncoding,
GROVER,hyenadna-medium-450k-seqlen-hf,noncoding_vs_coding,
GROVER,nucleotide-transformer-2.5b-1000g,coding_vs_coding,0.573169477768254
GROVER,nucleotide-transformer-2.5b-1000g,noncoding_vs_noncoding,0.7310349702511969
GROVER,nucleotide-transformer-2.5b-1000g,coding_vs_noncoding,
GROVER,nucleotide-transformer-2.5b-1000g,noncoding_vs_coding,
GROVER,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.43262610594599993
GROVER,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.49997542127732153
GROVER,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
GROVER,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
GROVER,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.5090243685651316
GROVER,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.5306245437124999
GROVER,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
GROVER,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
hyenadna-large-1m-seqlen-hf,hyenadna-medium-450k-seqlen-hf,coding_vs_coding,0.8436542621284933
hyenadna-large-1m-seqlen-hf,hyenadna-medium-450k-seqlen-hf,noncoding_vs_noncoding,0.9200202965366903
hyenadna-large-1m-seqlen-hf,hyenadna-medium-450k-seqlen-hf,coding_vs_noncoding,
hyenadna-large-1m-seqlen-hf,hyenadna-medium-450k-seqlen-hf,noncoding_vs_coding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-1000g,coding_vs_coding,0.5619627650041431
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-1000g,noncoding_vs_noncoding,0.7343421197508809
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-1000g,coding_vs_noncoding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-1000g,noncoding_vs_coding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.3978832933179918
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.5295166546442058
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.34847827476758897
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.5364798507228561
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
hyenadna-large-1m-seqlen-hf,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-1000g,coding_vs_coding,0.5787541762284305
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-1000g,noncoding_vs_noncoding,0.7574869751938772
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-1000g,coding_vs_noncoding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-1000g,noncoding_vs_coding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.4001906956878919
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.5435871957527281
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.3482676302477091
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.5402784009142971
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
hyenadna-medium-450k-seqlen-hf,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-2.5b-multi-species,coding_vs_coding,0.40588425600957584
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-2.5b-multi-species,noncoding_vs_noncoding,0.5548738092787845
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-2.5b-multi-species,coding_vs_noncoding,
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-2.5b-multi-species,noncoding_vs_coding,
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.480217974560131
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.5529355746849159
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
nucleotide-transformer-2.5b-1000g,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
nucleotide-transformer-2.5b-multi-species,nucleotide-transformer-500m-human-ref,coding_vs_coding,0.3659453920693865
nucleotide-transformer-2.5b-multi-species,nucleotide-transformer-500m-human-ref,noncoding_vs_noncoding,0.40563477466028486
nucleotide-transformer-2.5b-multi-species,nucleotide-transformer-500m-human-ref,coding_vs_noncoding,
nucleotide-transformer-2.5b-multi-species,nucleotide-transformer-500m-human-ref,noncoding_vs_coding,
